What username did you use to access PromptEd?,Model-Tutor,Curious,Bored,Confused,Surprised,Interested,Anxious,Frustrated,Inquisitive,Dull,Amazed,Worried,Happy,Muddled,Irritated,Monotonous,Excited,Astonished,Dissatisfied,Nervous,Joyful,Puzzled
KittenLemon,openai-explanation,4,3,2,5,4,2,2,3,2,4,2,4,4,2,3,4,4,1,3,4,2
YellowOrange,openai-scaffolding,5,3,1,5,5,2,4,4,2,4,2,4,2,4,5,4,3,2,2,4,3
AppleHappy,gemini-direct,4,1,2,3,4,3,2,4,2,3,3,4,1,1,2,3,2,3,2,4,3
EagleUmbrella,openai-scaffolding,4,3,2,2,3,2,2,4,2,2,2,3,2,3,2,2,2,2,2,2,2
TigerTiger,gemini-explanation,3,2,2,4,3,4,2,2,2,5,4,3,2,2,1,2,4,2,3,2,3
DeltaHappy,openai-direct,3,3,4,4,4,2,2,4,2,5,2,3,1,1,2,2,4,1,2,2,3
PandaUmbrella,gemini-explanation,3,2,3,3,4,4,4,4,2,2,3,3,3,4,2,3,2,4,2,2,4
FrostGrape,gemini-direct,4,1,2,3,5,1,1,4,1,5,1,3,1,1,1,4,5,1,1,3,1
SunnyUmbrella,gemini-scaffolding,4,2,3,4,5,1,2,4,2,4,2,4,3,2,3,4,5,2,2,4,3
YellowCandy,gemini-scaffolding,3,2,5,3,4,5,5,4,2,3,4,4,1,4,1,4,3,4,3,3,5
SunnyEagle,openai-direct,4,3,2,2,3,1,2,3,3,2,1,4,2,1,3,3,2,3,1,2,2
CandyViolet,gemini-scaffolding,3,1,4,1,3,3,2,3,1,3,3,3,1,1,1,3,2,1,3,3,4
